另据中国地震台网正式测定，15日16时14分在台湾宜兰县海域发生4.6级地震，震源深度为28公里，震中位于北纬24.31度，东经122.16度。	另 据 中 国 地 震 台 网 正 式 测 定 ， 1 5 日 1 6 时 1 4 分 在 台 湾 宜 兰 县 海 域 发 生 4 . 6 级 地 震 ， 震 源 深 度 为 2 8 公 里 ， 震 中 位 于 北 纬 2 4 . 3 1 度 ， 东 经 1 2 2 . 1 6 度 。	B E B E B E B E B E B E S B E S B E S B E B E B E B M E B E B E B M E S B E S B E B E S B E B E S B E B E B E B M M M E S S B E B M M M M E S S	另据 中国 地震 台网 正式 测定 ， 15 日 16 时 14 分在 台湾 宜兰县 海域 发生 4.6 级 地震 ， 震源 深度 为 28 公里 ， 震中 位于 北纬 24.31 度 ， 东经 122.16 度 。
2018年8月31日，十三届全国人大常委会第五次会议表决通过了《关于修改〈个人所得税法〉的决定。	2 0 1 8 年 8 月 3 1 日 ， 十 三 届 全 国 人 大 常 委 会 第 五 次 会 议 表 决 通 过 了 《 关 于 修 改 〈 个 人 所 得 税 法 〉 的 决 定 。	B M M E S B E B E S S B E S B M M M M M E S S S B E B E B E S S B E B E S B M M M M E S S B E S	2018 年 8月 31 日 ， 十三 届 全国人大常委会 第 五 次 会议 表决 通过 了 《 关于 修改 〈 个人所得税法 〉 的 决定 。
深化涉企网络辟谣工作，相关部门放大招！	深 化 涉 企 网 络 辟 谣 工 作 ， 相 关 部 门 放 大 招 ！	B E B E B E B E B E S B E B E B E S S	深化 涉企 网络 辟谣 工作 ， 相关 部门 放大 招 ！
做好网上群众工作，运用网络凝聚共识、改善民生、服务发展、守护平安，就是践行正确政绩观的生动实践。	做 好 网 上 群 众 工 作 ， 运 用 网 络 凝 聚 共 识 、 改 善 民 生 、 服 务 发 展 、 守 护 平 安 ， 就 是 践 行 正 确 政 绩 观 的 生 动 实 践 。	B E B E B E B E S B E B E B E B E S B E B E S B E B E S B E B E S B E B E B E B M E S B E B E S	做好 网上 群众 工作 ， 运用 网络 凝聚 共识 、 改善 民生 、 服务 发展 、 守护 平安 ， 就是 践行 正确 政绩观 的 生动 实践 。
人民银行的立场始终是清晰的，坚持市场在汇率形成中的决定性作用，保持汇率弹性，同时加强预期引导，保持人民币汇率在合理均衡水平上的基本稳定。	人 民 银 行 的 立 场 始 终 是 清 晰 的 ， 坚 持 市 场 在 汇 率 形 成 中 的 决 定 性 作 用 ， 保 持 汇 率 弹 性 ， 同 时 加 强 预 期 引 导 ， 保 持 人 民 币 汇 率 在 合 理 均 衡 水 平 上 的 基 本 稳 定 。	B M M E S B E B E S B E S S B E B E S B E B E B E B M E B E S B E B E B E S B E B E B E B E S B E B M E B E S B E B E B E S S B E B E S	人民银行 的 立场 始终 是 清晰 的 ， 坚持 市场 在 汇率 形成 中的 决定性 作用 ， 保持 汇率 弹性 ， 同时 加强 预期 引导 ， 保持 人民币 汇率 在 合理 均衡 水平 上 的 基本 稳定 。
比亚迪集团董事长王传福、总裁李柯在长沙与湖南省政府毛伟明省长签署战略合作，拟投资 500 亿元建设新能源汽车整车及动力电池基地。	比 亚 迪 集 团 董 事 长 王 传 福 、 总 裁 李 柯 在 长 沙 与 湖 南 省 政 府 毛 伟 明 省 长 签 署 战 略 合 作 ， 拟 投 资 5 0 0 亿 元 建 设 新 能 源 汽 车 整 车 及 动 力 电 池 基 地 。	B M E B E B M E B M E S B E B E S B E S B M M M E B M E B E B E B E B E S S B E B M E S S B E B M E B E B E S B M M E B E S	比亚迪 集团 董事长 王传福 、 总裁 李柯 在 长沙 与 湖南省政府 毛伟明 省长 签署 战略 合作 ， 拟 投资 500 亿 元 建设 新能源 汽车 整车 及 动力电池 基地 。
山东大学税务经济研究中心主任李华判断，未来5年是个税改革的重点时期。	山 东 大 学 税 务 经 济 研 究 中 心 主 任 李 华 判 断 ， 未 来 5 年 是 个 税 改 革 的 重 点 时 期 。	B M M E B E B E B M M E B E B E B E S B E S S S B E B E S B E B E S	山东大学 税务 经济 研究中心 主任 李华 判断 ， 未来 5 年 是 个税 改革 的 重点 时期 。
然而，应用繁荣不等于高枕无忧。	然 而 ， 应 用 繁 荣 不 等 于 高 枕 无 忧 。	B E S B E B E S B E B M M E S	然而 ， 应用 繁荣 不 等于 高枕无忧 。
台湾大部分县市有震感，宜兰县、花莲县震度最大，达4级。	台 湾 大 部 分 县 市 有 震 感 ， 宜 兰 县 、 花 莲 县 震 度 最 大 ， 达 4 级 。	B E B M E B E S B E S B M E S B M E B E B E S S S S S	台湾 大部分 县市 有 震感 ， 宜兰县 、 花莲县 震度 最大 ， 达 4 级 。
着眼未来，要牢牢把握高质量发展这个首要任务，在做大做好“蛋糕”上实现新突破。	着 眼 未 来 ， 要 牢 牢 把 握 高 质 量 发 展 这 个 首 要 任 务 ， 在 做 大 做 好 “ 蛋 糕 ” 上 实 现 新 突 破 。	B E B E S S B E B E B M E B E B E B M M E S S S S B E S B E S S B E S B E S	着眼 未来 ， 要 牢牢 把握 高质量 发展 这个 首要任务 ， 在 做 大 做好 “ 蛋糕 ” 上 实现 新 突破 。
另一方面，不断依法加强征管，比如针对海外收入、高收入群体等提高征管效率。	另 一 方 面 ， 不 断 依 法 加 强 征 管 ， 比 如 针 对 海 外 收 入 、 高 收 入 群 体 等 提 高 征 管 效 率 。	B M M E S B E B E B E B E S B E B E B E B E S B M E B E S B E B E B E S	另一方面 ， 不断 依法 加强 征管 ， 比如 针对 海外 收入 、 高收入 群体 等 提高 征管 效率 。
9天春节长假让旅客出行由“刚性返乡”向“弹性休闲”转变，“分段式过年”“反向过年”“旅游过年”等新趋势呈现。	9 天 春 节 长 假 让 旅 客 出 行 由 “ 刚 性 返 乡 ” 向 “ 弹 性 休 闲 ” 转 变 ， “ 分 段 式 过 年 ” “ 反 向 过 年 ” “ 旅 游 过 年 ” 等 新 趋 势 呈 现 。	S S B E B E S B E B E S S B E B E S S S B E B E S B E S S B E S B E S S B E B E S S B E B E S S B M E B E S	9 天 春节 长假 让 旅客 出行 由 “ 刚性 返乡 ” 向 “ 弹性 休闲 ” 转变 ， “ 分段 式 过年 ” “ 反向 过年 ” “ 旅游 过年 ” 等 新趋势 呈现 。
个税在收入分配调节中，最难的环节就是如何“限高”。	个 税 在 收 入 分 配 调 节 中 ， 最 难 的 环 节 就 是 如 何 “ 限 高 ” 。	B E S B E B E B E S S B E S B E B E B E S B E S S	个税 在 收入 分配 调节 中 ， 最难 的 环节 就是 如何 “ 限高 ” 。
“扩中”是促进中等收入人群扩大，这部分人群不应执行更高税率，而应通过税制优化促进其增加劳动收入、资本份额、创业投资等来扩大中等收入群体；	“ 扩 中 ” 是 促 进 中 等 收 入 人 群 扩 大 ， 这 部 分 人 群 不 应 执 行 更 高 税 率 ， 而 应 通 过 税 制 优 化 促 进 其 增 加 劳 动 收 入 、 资 本 份 额 、 创 业 投 资 等 来 扩 大 中 等 收 入 群 体 ；	S S S S S B E B E B E B E B E S S B E B E B E B E B E B E S S S B E B E B E B E S B E B M M E S B E B E S B M M E S S B E B E B E B E S	“ 扩 中 ” 是 促进 中等 收入 人群 扩大 ， 这 部分 人群 不应 执行 更高 税率 ， 而 应 通过 税制 优化 促进 其 增加 劳动收入 、 资本 份额 、 创业投资 等 来 扩大 中等 收入 群体 ；
五是结合整体税制改革，适时研究推出退出籍税、遗产税等补充性托底税收制度，构建完善的税制体系，提升调节效用，体现共同富裕的目标。	五 是 结 合 整 体 税 制 改 革 ， 适 时 研 究 推 出 退 出 籍 税 、 遗 产 税 等 补 充 性 托 底 税 收 制 度 ， 构 建 完 善 的 税 制 体 系 ， 提 升 调 节 效 用 ， 体 现 共 同 富 裕 的 目 标 。	S S B E B E B E B E S B E B E B E B E S S S B M E S B M E B E B M M E S B E B E S B E B E S B E B E B E S B E B M M E S B E S	五 是 结合 整体 税制 改革 ， 适时 研究 推出 退出 籍 税 、 遗产税 等 补充性 托底 税收制度 ， 构建 完善 的 税制 体系 ， 提升 调节 效用 ， 体现 共同富裕 的 目标 。
国际奥委会主席巴赫宣布，2036 年夏季奥运会主办城市为韩国首尔。	国 际 奥 委 会 主 席 巴 赫 宣 布 ， 2 0 3 6 年 夏 季 奥 运 会 主 办 城 市 为 韩 国 首 尔 。	B M M M E B E B E B E S B M M E S B E B M E B E B E S B E B E S	国际奥委会 主席 巴赫 宣布 ， 2036 年 夏季 奥运会 主办 城市 为 韩国 首尔 。
国家卫生健康委主任马晓伟、疾控局局长王贺胜在广州会见广东省委书记黄坤明、省长王伟中，部署华南地区传染病防控工作。	国 家 卫 生 健 康 委 主 任 马 晓 伟 、 疾 控 局 局 长 王 贺 胜 在 广 州 会 见 广 东 省 委 书 记 黄 坤 明 、 省 长 王 伟 中 ， 部 署 华 南 地 区 传 染 病 防 控 工 作 。	B E B E B E S B E B M E S S S B M E B M E S B E B E B M M E B E B M E S B E B M E S B E B M M E B M E B E B E S	国家 卫生 健康 委 主任 马晓伟 、 疾 控 局局长 王贺胜 在 广州 会见 广东省委 书记 黄坤明 、 省长 王伟中 ， 部署 华南地区 传染病 防控 工作 。
二是加大对“拆分收入”“阴阳合同”等逃避高税率行为的打击力度，合理运用反避税规则遏制不合理税收筹划，这是“限高”功能得以落实的关键因素之一；	二 是 加 大 对 “ 拆 分 收 入 ” “ 阴 阳 合 同 ” 等 逃 避 高 税 率 行 为 的 打 击 力 度 ， 合 理 运 用 反 避 税 规 则 遏 制 不 合 理 税 收 筹 划 ， 这 是 “ 限 高 ” 功 能 得 以 落 实 的 关 键 因 素 之 一 ；	S S B E S S B E B E S S B E B E S S B E S B E B E S B E B E S B E B E B M E B E B E B M E B E B E S S S S B E S B E B E B E S B M M E B E S	二 是 加大 对 “ 拆分 收入 ” “ 阴阳 合同 ” 等 逃避 高 税率 行为 的 打击 力度 ， 合理 运用 反避税 规则 遏制 不合理 税收 筹划 ， 这 是 “ 限高 ” 功能 得以 落实 的 关键因素 之一 ；
对财产性收入征收20%的税率同样具有这样的效果，但再分配的效果相对较小。	对 财 产 性 收 入 征 收 2 0 % 的 税 率 同 样 具 有 这 样 的 效 果 ， 但 再 分 配 的 效 果 相 对 较 小 。	S B M E B E B E B E S S B E B E B E B E S B E S S S B E S B E B E B E S	对 财产性 收入 征收 20 % 的 税率 同样 具有 这样 的 效果 ， 但 再 分配 的 效果 相对 较小 。
专区搭建权威发声平台，以官方“背书”快速澄清谬误，既解企业燃眉之急，又重塑公众信任基石。	专 区 搭 建 权 威 发 声 平 台 ， 以 官 方 “ 背 书 ” 快 速 澄 清 谬 误 ， 既 解 企 业 燃 眉 之 急 ， 又 重 塑 公 众 信 任 基 石 。	B E B E B E B E B E S S B E S B E S B E B E B E S S S B E B M M E S S B E B E B E B E S	专区 搭建 权威 发声 平台 ， 以 官方 “ 背书 ” 快速 澄清 谬误 ， 既 解 企业 燃眉之急 ， 又 重塑 公众 信任 基石 。
记者从海口海事局了解到，春运期间，琼州海峡水路运输总体安全顺畅，货物流通有序。	记 者 从 海 口 海 事 局 了 解 到 ， 春 运 期 间 ， 琼 州 海 峡 水 路 运 输 总 体 安 全 顺 畅 ， 货 物 流 通 有 序 。	B E S B M M M E B M E S B M M E S B M M E B M M E B E B E B E S B E B E B E S	记者 从 海口海事局 了解到 ， 春运期间 ， 琼州海峡 水路运输 总体 安全 顺畅 ， 货物 流通 有序 。
经过数年的实施，建立于2018年的个税制度逐渐完善，在收入调节等方面发挥着重要的作用，但一些问题也制约了其调节效果的进一步发挥。	经 过 数 年 的 实 施 ， 建 立 于 2 0 1 8 年 的 个 税 制 度 逐 渐 完 善 ， 在 收 入 调 节 等 方 面 发 挥 着 重 要 的 作 用 ， 但 一 些 问 题 也 制 约 了 其 调 节 效 果 的 进 一 步 发 挥 。	B E S S S B E S B E S B M M E S S B E B E B E B E S S B E B E S B E B E S B E S B E S S B E B E S B E S S B E B E S B M E B E S	经过 数 年 的 实施 ， 建立 于 2018 年 的 个税 制度 逐渐 完善 ， 在 收入 调节 等 方面 发挥 着 重要 的 作用 ， 但 一些 问题 也 制约 了 其 调节 效果 的 进一步 发挥 。
更好发挥第三次分配作用，促进和规范公益慈善事业发展，探索慈善有效实现形式…… 着眼未来，要在“扩中提低”的同时织牢民生保障网，让更多居民敢消费、愿消费。	更 好 发 挥 第 三 次 分 配 作 用 ， 促 进 和 规 范 公 益 慈 善 事 业 发 展 ， 探 索 慈 善 有 效 实 现 形 式 … … 着 眼 未 来 ， 要 在 “ 扩 中 提 低 ” 的 同 时 织 牢 民 生 保 障 网 ， 让 更 多 居 民 敢 消 费 、 愿 消 费 。	B E B E S S S B E B E S B E S B E B E B M M E B E S B E B E B E B E B E B E B E B E S S S S S S S S S S B E S S B E B E S S S B E B E S B E S S B E S	更好 发挥 第 三 次 分配 作用 ， 促进 和 规范 公益 慈善事业 发展 ， 探索 慈善 有效 实现 形式 …… 着眼 未来 ， 要 在 “ 扩 中 提 低 ” 的 同时 织 牢 民生 保障 网 ， 让 更多 居民 敢 消费 、 愿 消费 。
中国国防部新闻发言人蒋斌11日就近期涉军问题发布消息。	中 国 国 防 部 新 闻 发 言 人 蒋 斌 1 1 日 就 近 期 涉 军 问 题 发 布 消 息 。	B E B M E B E B M E B E B E S S B E S S B E B E B E S	中国 国防部 新闻 发言人 蒋斌 11 日 就 近期 涉 军 问题 发布 消息 。
浙江正在推动高质量发展建设共同富裕示范区。	浙 江 正 在 推 动 高 质 量 发 展 建 设 共 同 富 裕 示 范 区 。	B E B E B E B M E B E B E B M M E B M E S	浙江 正在 推动 高质量 发展 建设 共同富裕 示范区 。
此外，最长春节假期对旅客出行带动作用明显。	此 外 ， 最 长 春 节 假 期 对 旅 客 出 行 带 动 作 用 明 显 。	B E S B E B M M E S B E B E B E B E B E S	此外 ， 最长 春节假期 对 旅客 出行 带动 作用 明显 。
佩泽希齐扬在通话中驳斥了美国总统特朗普关于对伊朗持续军事打击旨在阻止其制造核武器的说法。	佩 泽 希 齐 扬 在 通 话 中 驳 斥 了 美 国 总 统 特 朗 普 关 于 对 伊 朗 持 续 军 事 打 击 旨 在 阻 止 其 制 造 核 武 器 的 说 法 。	B M M M E S B E S B E S B E B E B M E B E S B E B E B E B E B E B E S B E B M E S B E S	佩泽希齐扬 在 通话 中 驳斥 了 美国 总统 特朗普 关于 对 伊朗 持续 军事 打击 旨在 阻止 其 制造 核武器 的 说法 。
华为公司轮值董事长徐直军、首席财务官孟晚舟在深圳总部宣布，将联合中国移动、中国电信、中国联通、中国广电在上海、广州、深圳、成都建设 5.5G 示范区。	华 为 公 司 轮 值 董 事 长 徐 直 军 、 首 席 财 务 官 孟 晚 舟 在 深 圳 总 部 宣 布 ， 将 联 合 中 国 移 动 、 中 国 电 信 、 中 国 联 通 、 中 国 广 电 在 上 海 、 广 州 、 深 圳 、 成 都 建 设 5 . 5 G 示 范 区 。	B M M E B E B M E B M E S B E B M E S S S S B E B E B E S S B E B M M E S B M M E S B M M E S B E B E S B E S B E S B E S B E B E B M E S B M E S	华为公司 轮值 董事长 徐直军 、 首席 财务官 孟 晚 舟 在 深圳 总部 宣布 ， 将 联合 中国移动 、 中国电信 、 中国联通 、 中国 广电 在 上海 、 广州 、 深圳 、 成都 建设 5.5 G 示范区 。
旗帜鲜明地维护企业和企业家的合法权益，是法治建设的应有之义。	旗 帜 鲜 明 地 维 护 企 业 和 企 业 家 的 合 法 权 益 ， 是 法 治 建 设 的 应 有 之 义 。	B M M E S B E B E S B M E S B M M E S S B E B E S B E S S S	旗帜鲜明 地 维护 企业 和 企业家 的 合法权益 ， 是 法治 建设 的 应有 之 义 。
北京理工大学、哈尔滨工业大学、西北工业大学联合组建空天科技创新联盟，在西安召开成立大会，教育部副部长吴岩出席并致辞。	北 京 理 工 大 学 、 哈 尔 滨 工 业 大 学 、 西 北 工 业 大 学 联 合 组 建 空 天 科 技 创 新 联 盟 ， 在 西 安 召 开 成 立 大 会 ， 教 育 部 副 部 长 吴 岩 出 席 并 致 辞 。	B M M M M E S B M M M M M E S B M M M M E B E B E B E B E B E B E S S B E B E B E B E S B M E B M E B E B E S B E S	北京理工大学 、 哈尔滨工业大学 、 西北工业大学 联合 组建 空天 科技 创新 联盟 ， 在 西安 召开 成立 大会 ， 教育部 副部长 吴岩 出席 并 致辞 。
当前，中国的社会融资条件处于宽松状态，金融总量合理增长。	当 前 ， 中 国 的 社 会 融 资 条 件 处 于 宽 松 状 态 ， 金 融 总 量 合 理 增 长 。	B E S B E S B E B E B E B E B E B E S B E B E B E B E S	当前 ， 中国 的 社会 融资 条件 处于 宽松 状态 ， 金融 总量 合理 增长 。
第三，税收流失呈现明显阶层分化，最高收入个人是税收治理的征管难点；	第 三 ， 税 收 流 失 呈 现 明 显 阶 层 分 化 ， 最 高 收 入 个 人 是 税 收 治 理 的 征 管 难 点 ；	S S S B E B E B E B E B E B E S B E B E B E S B E B E S B E B E S	第 三 ， 税收 流失 呈现 明显 阶层 分化 ， 最高 收入 个人 是 税收 治理 的 征管 难点 ；
琼州海峡运输旅客470多万人次。	琼 州 海 峡 运 输 旅 客 4 7 0 多 万 人 次 。	B M M E B E B E B M E S S B E S	琼州海峡 运输 旅客 470 多 万 人次 。
吸引用户只是第一步，更关键的问题是：当红包的热度退去，人工智能如何更好融入日常生活，形成不可替代的新型基础设施？	吸 引 用 户 只 是 第 一 步 ， 更 关 键 的 问 题 是 ： 当 红 包 的 热 度 退 去 ， 人 工 智 能 如 何 更 好 融 入 日 常 生 活 ， 形 成 不 可 替 代 的 新 型 基 础 设 施 ？	B E B E B E B E S S S B E S B E S S S B E S B E B E S B M M E B E B E B E B M M E S B E B E B E S B E B M M E S	吸引 用户 只是 第一 步 ， 更 关键 的 问题 是 ： 当 红包 的 热度 退去 ， 人工智能 如何 更好 融入 日常生活 ， 形成 不可 替代 的 新型 基础设施 ？
地震发生后，与台湾隔海相望的福建沿海地区震感明显。	地 震 发 生 后 ， 与 台 湾 隔 海 相 望 的 福 建 沿 海 地 区 震 感 明 显 。	B E B E S S S B E B M M E S B E S B E S B E B E S	地震 发生 后 ， 与 台湾 隔海相望 的 福建 沿 海地 区 震感 明显 。
鉴于该项目规划审批不含别墅、住宅等建设内容，上述宣传内容与项目行政审批的规划用途严重不符，属于虚假不实宣传，严重扰乱房地产市场秩序。	鉴 于 该 项 目 规 划 审 批 不 含 别 墅 、 住 宅 等 建 设 内 容 ， 上 述 宣 传 内 容 与 项 目 行 政 审 批 的 规 划 用 途 严 重 不 符 ， 属 于 虚 假 不 实 宣 传 ， 严 重 扰 乱 房 地 产 市 场 秩 序 。	B E S B E B E B E B E B E S B E S B E B E S B E B E B E S B E B E B E S B E B E B E B E S B E B E B E B E S B E B E B M E B M M E S	鉴于 该 项目 规划 审批 不含 别墅 、 住宅 等 建设 内容 ， 上述 宣传 内容 与 项目 行政 审批 的 规划 用途 严重 不符 ， 属于 虚假 不实 宣传 ， 严重 扰乱 房地产 市场秩序 。
液化天然气对化肥、电力和运输至关重要。	液 化 天 然 气 对 化 肥 、 电 力 和 运 输 至 关 重 要 。	B E B M E S B E S B E S B E B M M E S	液化 天然气 对 化肥 、 电力 和 运输 至关重要 。
全球最完整的产业链，为AI提供制造、医疗、教育等千行百业的赋能空间。	全 球 最 完 整 的 产 业 链 ， 为 A I 提 供 制 造 、 医 疗 、 教 育 等 千 行 百 业 的 赋 能 空 间 。	B E S B E S B M E S S B E B E B E S B E S B E S S S B E S S S B E S	全球 最 完整 的 产业链 ， 为 AI 提供 制造 、 医疗 、 教育 等 千 行 百业 的 赋 能 空间 。
他在会见中国外交部长王毅时表示，联合国高度赞赏中国在全球治理、气候变化等领域的重要贡献。	他 在 会 见 中 国 外 交 部 长 王 毅 时 表 示 ， 联 合 国 高 度 赞 赏 中 国 在 全 球 治 理 、 气 候 变 化 等 领 域 的 重 要 贡 献 。	S S B E B E B M M E B M E B E S B M E B E B E B E S B E B E S B M M E S B E S B E B E S	他 在 会见 中国 外交部长 王毅时 表示 ， 联合国 高度 赞赏 中国 在 全球 治理 、 气候变化 等 领域 的 重要 贡献 。
“十五五”规划建议强调健全经营所得、资本所得、财产所得的税收政策，针对三类所得性质不同，考虑构建专门的税收体系和差异化调节策略；	“ 十 五 五 ” 规 划 建 议 强 调 健 全 经 营 所 得 、 资 本 所 得 、 财 产 所 得 的 税 收 政 策 ， 针 对 三 类 所 得 性 质 不 同 ， 考 虑 构 建 专 门 的 税 收 体 系 和 差 异 化 调 节 策 略 ；	S B M E S B E B E B E B E B E B E S B E B E S B E B E S B M M E S B E B E B E B E B E S B E B E B E S B E B E S B M E B E B E S	“ 十五五 ” 规划 建议 强调 健全 经营 所得 、 资本 所得 、 财产 所得 的 税收政策 ， 针对 三类 所得 性质 不同 ， 考虑 构建 专门 的 税收 体系 和 差异化 调节 策略 ；
