text,label
"多头有备而来 郑糖上演逼空行情 周一,白糖市场各个盘面继续大幅上涨,在中小散户获利平仓作用下一度高开低走,但郑盘收盘仍然高踞,大量多单压着高价收盘。收盘时,1005合约报4788元/吨,较前一日上涨179元,涨幅为3.88%。 现货盘和期货盘步调一致但走法不一,显示了郑盘多头资金已经基本上甩开了2008/09榨季的基本面,凸显其金融属性,多头开始死磕空头,直到有人投降为止。 前期多头资金曾经犹豫过一阵子,但青海会议无疑坚定了多头的信心,为上涨行情添上一把火。青海会议期",财经
"科比送门徒亲笔签名球鞋 称绝杀如打喷嚏一般轻松 新浪体育讯 7月26日周一下午17:30,北京世纪剧院将来亚洲首场“NIKE科比24Live”脱口秀。该节目是以科比为核心的谈话节目,在耐克邀请科比世界巡回期间在全球各地演出。以下为科比脱口秀实录节选: 主持人Alex:现在就欢迎我们今天的神秘嘉宾。 主持人于嘉:有请张宇星。 张宇星:大家好!我是来自北京的张宇星。 主持人于嘉:站在这儿跟大家打个招呼。 张宇星:大家好!我是来自北京的张宇星。 主持人于嘉:科比还记得他吗? 科比:我记得他",体育
"布帅国奥首训树旗昆明 海外拉练改道埃及热身三场 布帅首训树旗昆明 海外拉练改道埃及 本报驻京记者 顾晨 远在克罗地亚休假的布拉泽维奇时刻惦记着中国国奥队。经过他的修改,国奥队首训改在昆明树旗,随后于明年1月中旬出访埃及,将近一个月的首期集训对于布氏国奥至关重要。 虽然还在千里之外的克罗地亚度假,但是布拉泽维奇并没有完全沉浸在天伦之乐中,但保持着同中国足协的热线联系,为国奥队即将开始的首期集训做最后的准备。参加首期集训的25人大名单已经确定,如果一切正常,足协将于今天公布名单。对于上海",体育
"连续五年无缘季后赛? 加强版东北虎本季要当黑马 城市晚报讯 信心源于实力,当吉林九台农商银行东北虎队再次喊出冲击季后赛口号时,将帅的目光和言语中,自信的成分明显比前几个赛季增多。自2005-2006赛季获得联赛第八名后,东北虎已经多年未能进入前八。经历过阵痛,经历过新老交替的艰难,如今,当于澍龙等一批新生代逐渐挑起大梁,东北虎开始逐渐反弹。若将“提高”进行量化,主教练王晗说,本赛季这批队员若与上赛季的阵容对抗,至少能赢10分。 【执教篇】 为何要从自己先改变? 太激动会影响大局观 上",体育
"图文-无缘世界杯伊布海滩度假 欣赏自己的纹身 新浪体育讯 当地时间2010年6月3日,在美国迈阿密,巴萨前锋伊布拉希莫维奇海滩度假,穿性感短裤秀强健身姿,展现红色龙形纹身。图为伊布低头欣赏纹身。",体育
"解析山东高考文综卷:难易适中设问具体易入手 组图 据悉,今年高考文综科目中历史占78分,地理78分,政治84分,总分240分。 政治:设问具体易入手没出现开放题 “今年的政治题难易适中,材料题设问具体,没有出现开放题,所以考生回答起来会很有针对性。”烟台三中政治老师刘慧娟介绍,今年政治试题比较简单,问题设置很“直白”,考察知识点都属于平时学生练习的重点问题。 刘慧娟老师介绍,今年政治在240分的文科综合中占84分,如果不出失误,成绩优秀的考生能答70多分。 今年政治试题的一个特点就是材",教育
2010年高考理科综合试题及答案 全国卷II 适用地区:贵州 云南 甘肃 新疆 内蒙古 青海 名师点评2010高考物理真题 化学真题 生物真题 3、提交后系统将自动生成所得分数。 点击此立即参与2010年高考理综试题大讨论 全国卷II,教育
"福建2010高考分数线划定 一本文科557理539 东快网讯 2010年福建高考录取分数线已划定如下: 理工本科一批为539分,本科二批472分,本科三批433分; 文史本科一批557分,本科二批494分,本科三批464分; 理科专科分数线270分,文科专科333分。",教育
"2010年艺术品拍卖有望200亿 业内称暂时无泡沫 香港佳士得春拍刚刚收槌,业界乐得眉开眼笑 “世界拍卖巨头苏富比和佳士得,今春分别创下最高和次高单季成交纪录,以香港为中心的亚洲艺术品市场呈现一派春暖花开的繁荣景象”。 “可以这么说,我们对这个市场非常乐观。”中国嘉德广州国际拍卖有限公司副总裁许习文在接受羊城晚报记者独家专访的时候坦言:“我有信心今年的夏拍比去年同期要好,比去年的冬拍也要好! 广东艺术品市场有望再攀高峰 作为亚洲拍卖市场风向标,苏富比在4月3日敲响香港春季拍卖第一槌。总成",财经
"备考指南:高三备课组组长支招冲刺高考 编者按:离6月7日高考开考仅有两周的时间。在这关键的13天里,考生如何进行高效率的复习?如何进行自我心理调节?家长如何照顾考生的饮食起居?信息时报今日邀请多位高三毕业班资深老师、著名心理专家还有营养专家,为考生及家长提供全方位、最实用的备考指南。同时,信息时报还联合新浪网站,连续5天开通咨询热线,欢迎家长、学生来电咨询。 冲刺攻略 由广州各大重点中学高三备课组组长就最后冲刺阶段该如何分配有限的时间,达到最佳的复习效果,以及具体科目又该重",教育
"国际米兰低调庆夺冠 狂人球场斗记者怀疑安帅自传造假 记者陈晶晶报道 对国米来说,上周日的90分钟本就只是夺冠仪式中的一部分,不识时务的亚特兰大险些坏了这场好戏的气氛,好在伊布拉没有让蓝黑军团的这个结尾显得过于狼狈。 狂人卖乖不停 上周日下午,国米教练席显得很空。决心让贤的莫里尼奥一开始一直倚着椅背站在旁边观看比赛,而对于他的替身们来讲,跌宕起伏的比赛过程实在是令他们难以安然入座。 上轮赛后,莫里尼奥就宣布赛季最后一场希望把教练席让给助手们以表示对他们的感谢。上周六下午狂人也一口气叫上了教",体育
"日本NEC杯快棋赛半决赛 张栩胜河野临率先晋级 谱 新浪体育讯 点击观看棋谱 日本第28期NEC杯快棋赛半决赛今天在德岛市进行,张栩九段执白以3目半的优势战胜河野临九段晋级决赛。 NEC杯创办于1981年,冠军奖金1700万日元。比赛采取单败淘汰制。决赛一局定胜负。比赛用时为每方10分钟,之后每手棋30秒。快棋高手大竹英雄九段、依田纪基九段、加藤正夫九段都曾多次夺取冠军。从第24期开始NEC杯上演新老交替,张栩九段、河野临九段等更棋手接连夺冠。 张栩九段是2008年日本棋坛的风云人物,夺",体育
"广东中山市高校招生咨询会本月29日举行 南方日报讯 记者/胡明 记者昨天从中山市招考办获悉,“中山市2011年普通高等学校招生现场咨询会”将于6月29日在电子科大中山学院举办。届时,参展高校将派出招生工作人员现场接受考生、家长面对面咨询。 据悉,是次咨询会将为考生、家长提供普通高等学校招生宣传有关方针、政策及招生信息,为广大考生提供与招生学校面对面咨询的机会,帮助考生更好地了解今年的招生信息,科学填报志愿。 市招考办表示,参展院校须为经教育部批准在广东省有招生计划的普通高校。",教育
"西甲-梅西2球并献助攻 巴萨3-1逆转仍领先皇马8分 新浪体育讯 北京时间4月10日02:00 西班牙当地时间9日20:00 ,2010/11赛季西班牙足球甲级联赛第31轮一场焦点战在诺坎普球场展开角逐,巴塞罗那主场3比1取胜阿尔梅利亚,梅西打入2球并助攻蒂亚戈进球。 巴萨历史上11次联赛对阵阿尔梅利亚取得8胜3平保持不败,其中5个主场取得全胜,打入16球且大门不失。巴尔德斯和布斯克茨双双停赛缺阵,平托赛前摆脱左脚踝伤病首发出场,米利托、马克斯维尔、蒂亚戈和博扬轮换首发出场。 第22分钟,",体育
"电子盘原油回升 沪燃油走势偏强 上海燃料油期货1月19日走势偏强。主力1105合约开盘4,851元/吨,收盘4,881元/吨,上涨41元/吨,成交量为34,100手,持仓量为70,566手。受电子盘原油回升及国内市场整体走高带动,沪燃油跌至反弹。近期现货报价因资源紧张,保持坚挺,部分地区终端开始备货。预计沪油短期将在原油及周边市场带动下维持震荡偏多走势。 纽约商业期货交易所 NYMEX 原油期货19日亚洲电子盘震荡回升,截止北京时间15:00,NYMEX 二月原油期货",财经
"今年以来TOT净值跌幅最深超14% 证券时报记者 余子君 由于信托公司暂停开设股票账户,为了不影响发行,能够成功绕开开户障碍的信托中的信托 TOT 受到热捧,尤其是今年以来,随着存量账户的不断减少,TOT更是炙手可热、第三方研究机构、媒体纷纷染指。但是在TOT火热发行的背景下,今年以来的震荡市中TOT普遍未取得亮眼业绩。 Wind数据统计显示,首只TOT产品 东海盛世1号成立于2009年4月24日,截至4月29日,单位净值为120.74元,今年以来净值下跌了4.04%;光",财经
"初三生考高分不能只依靠冲刺班 语文 反复做平时的错题 考生在语文复习阶段不妨给自己制订一个合理的计划,可按教学书籍、考试说明和综合模拟练习3大板块来安排。 首先,将老师课上所讲内容完全消化,复习时以课本为先,书上的内容是基础。在掌握的基础上,按层次补缺和提高。 另外,应该多做练习、懂得总结,将自己平时做错的题目进行整理,然后反复地做,巩固记忆。 同时突出阅读和写作能力的训练。写作是需要积累的,应多看一些有深度的文章,进行一下背诵很有必要,体会其中的语境、语感。多搜集",教育
"江苏洋帅赛前示弱 教练:面具人归来可与广东争锋 自从执教南钢队以来,外教杰森带给了球队很多东西,不过他本人也从中国篮球从江苏篮球身上学到了一些东西,其中最重要的一条就是 “低调”。 昨天,在球队从杭州抵达比赛地中山后,杰森在酒店大堂把队员们召集在一起:“我现在只想告诉你们,打浙江的最后6分钟是我见过的你们打得最好的一段时间。现在大家的任务就是休息好,明天的比赛不用多想,拼出来就行,拼出来就是胜利。”一向信心十足的杰森再次遇到卫冕冠军时选择了“示弱”。 “尽管广东实力比我们强,可每次打",体育
"CUBA六冠王华侨大学再遭绝杀 小组赛遭遇已两连败 新华网浙江绍兴4月10日体育专电 张孟琼、梁希仪 曾经六夺CUBA联赛男篮总冠军的华侨大学队在10日的东南赛区小组赛中再次受挫,以72:73输给宁波大学,遭遇两连败。 华侨大学是CUBA历史上夺得总冠军次数最多的院校,但自上届以来,球队经历新老交替、失去桂冠,此后的成绩一路下滑。本届分区赛,华大三场比赛除首战击败南昌大学外,接连以1分之差惜败于浙大和宁大,小组出线已成疑问。 凌海杰是宁波大学获胜的第一功臣,他掠下22分和11个篮板,队友",体育
"玉米 持续走弱 玉米 持续走弱 上周大连玉米持续走弱,市场成交维持低迷状态。周五905合约跌23元至1631元/吨。市场成交清淡,人气极度低迷。基本面上供需偏空,但托市收购政策限制期价跌幅。预计后市区间震荡格局不变,极可能维持在10月以来的震荡区间中运行支撑位。 胡秋红",财经
"男足世界杯夺冠成男篮榜样 西班牙目标世锦赛金牌 记者潘谨勤7月25日报道 西班牙男足获得世界杯,让西班牙男篮更加渴望夺得世锦赛,保 加索尔尽管退出国家队,但仍然关注国家队,而挂在他嘴边的,就是足球夺冠,篮球也应该让球迷满意。 “夺得世界大赛一直是我们的目标,”加索尔说,“尽管我不能上场,但我仍然相信我们有夺冠的实力。而我们的足球队已经创造历史,接下来可以看看我们篮球的表现了。” 2008年欧洲杯西班牙足球夺冠,一年后的欧锦赛上,加索尔同样放话,篮球也要夺冠,最终他们历史上首次捧起欧锦",体育
"切尔西vs布莱克浦首发德罗巴领衔三叉戟 特里缺阵 新浪体育讯 北京时间9月19日晚,2010-11赛季英超联赛第5轮继续进行,新浪体育赛前为您带来本轮比赛的各场首发。 切尔西vs布莱克浦 开球:19日23:00 切尔西:433 门将:切赫 后卫:保罗-费雷拉、伊万诺维奇、阿莱士、阿什利-科尔 前卫:埃辛、米克尔、拉米雷斯 前锋:卡劳、德罗巴、马卢达 替补:特恩布尔、贝纳永、阿内尔卡、日尔科夫、斯图里奇、布鲁玛、卡库塔 布莱克浦:451 门将:基尔克斯 后卫:埃尔德利、埃瓦特、巴普蒂斯特",体育
"台生赴大陆“考研”每年约2000人 据新华社台北12月6日电眼下又到了台湾学生报名参加大陆高校研究生考试的日子。记者6日从在岛内接受报名的夏潮联合会了解到,近年来通过该会报名赴大陆“考研”的台生数量稳定,每年约500人,而通过各种方式报名的台生总数每年保持在2000人左右。 今年8月,台立法机构通过所谓“陆生三法”修正案,其中包括承认大陆40余所高校的学历。",教育
"河北工业大学2010年高考录取结果查询系统开通 新浪教育讯 河北工业大学2010年高考录取结果查询系统开通, 点击此处查看",教育
"图文-火箭常规训练 训练场上谁敢这样? 新浪体育讯 北京时间3月5日 休斯顿当地时间4日中午12时至下午1时30分 ,火箭队在丰田中心进行了常规训练,训练结束后教练和部分球员接受了媒体的采访。 TONY",体育
"新帅未出炉薪酬先曝光 年薪50万集训每天津贴千元 本报讯 记者郑小龙 这次足协将国家队的长远规划定了在2014年,如果不发生意外的话,各级国字号球队将由土帅一统天下,短期内不会有任何“洋务运动”。另外,这次中国足协将一改过去与本土教练不签合同的尴尬,从合同和工资方面全面提升教练待遇,以增加国字号教练对本土精英的吸引力。 据悉,竞聘开始前,足协已经决定与竞聘成功者签订一个长期合同 国家队主帅职务到2014年巴西世界杯结束,国奥则到2012年伦敦奥运会结束 。签订如此长期的合同,足协的出发",体育
"原油上涨动力依然充足 近期将围绕100关口争夺 7月份以来,国际原油基本上呈现出振荡回升的局面,美国原油近月合约期价一度上冲至100美元/桶,而欧洲原油的价格在120美元/桶关口受阻后展开强势振荡格局,整体上来看,国际原油在经历上个月末的连续探底之后已经探明短期底部。笔者认为,在其自身供需基本面比较平稳的情况下,后期油价将更多的依赖于全球宏观经济的变化,同时,美国国内原油库存的不断走低以及CFTC净多持仓的高位运行都将为油价提供坚实的上涨基础,后期原油走高仍是大概率事件。 近期国际金",财经
"易建联:不在乎加内特的垃圾话 我要一场比一场好 新浪体育讯 北京时间10月15日消息,据新泽西篮网官方网站报道,由于右肩拉伤,篮网首发大前锋易建联在昨天对波士顿凯尔特人的比赛下半场没有出场。 据阿联介绍,他是在第二节一次突破中,被对方的防守球员弄伤的,随后出于安全的考虑,他向主教练劳伦斯-弗兰克汇报了此事,并返回休息室接受检查、治疗。 事实上,在双方上一次在波士顿的交锋中,这位中国球员刚刚打出了季前赛开始以来的最佳表现,拿到了20分、8个篮板。 由于受伤部位需要恢复,阿联缺席了今天的",体育
"小牛再遭重创! 诺天王亲口证实手指肌腱撕裂 图 新浪体育讯 北京时间6月1日,NBA总决赛首战在迈阿密打响,最终热火92-84力克小牛,取得开门红。达拉斯人今夜不仅输了球,还遭遇了意外的伤病打击。德克-诺维茨基虽然拿下全场最高的27分,但比赛中德国战车左手手指受伤,让小牛雪上加霜。 意外出现在比赛的下半场,当时诺维茨基防守对方大将克里斯-波什,诺天王下手企图掏球,却不慎左手中指挫在了皮球上,导致手指受伤。当时从比赛中看德克的手没有什么太大的问题,实际上这下伤的没那么简单。 比赛结束后",体育
"泰达罢训恐难换李广益下课 队员忧心年底横遭清洗 特约记者吕涛天津报道 从23日16点到24日17点,泰达球员罢训只持续了25个小时就宣布结束。关于“李广益是否下课”的最核心问题,表面看是被搁置了起来,不过在背后,几方力量的斗争一刻都没有停歇。 24日下午,于根伟赶到了团泊洼召开会议,告诫球员将心思回到训练和比赛中,许诺尽快解决合同问题。但另一个重要问题 李广益是否下课,会议则没给出说法。事实上,于根伟只是副总,他无法在会上告诉球员总经理的去留问题。球员们很是困惑,“李广益到底会不会下",体育
"清华蹭课保安考取山东师大 立志回北京考研 近日,驻清华大学保安员贾作胜收拾好行李,踌躇满志地去山东师范大学报到。这是驻首都高校保安系统20年来惟一通过自学考上大学的保安员。 贾作胜今年27岁,来自山东菏泽农村,高中毕业后,由于家庭经济等原因,未能如愿继续就读。在打工的几年里,他一直坚持自学,从来没有放弃梦想。2009年12月份,得知在高校当保安有良好的学习条件后,他来到了北京市保安总公司文安分公司。看到他好学上进,公司特意把他安排到了清华大学图书馆当保安员,为他提供了一个博览群",教育
"贝克汉姆:史上最会防守的荷兰 我更支持西班牙夺冠 新浪体育讯 周日的世界杯决赛令人期待。两个伟大的,以足球文化著称,又都没有赢得过世界冠军的荷兰和西班牙在世界杯的决赛中相遇。贝克汉姆在最新的专栏中写道,迄今为止他们都在世界杯上踢出了吸引力十足的足球。现全文翻译如下: 我们先看荷兰队,历史上他们有过克鲁伊夫、范巴斯滕这样的优秀球员,一直在强调进攻,在这一点上拥有斯内德、罗本和范佩西的球队承袭了前辈的优点。所不同的是,他们的防守更加坚固,每名球员都为了球队整体在做着努力,这或许是一支最会防",体育
"股指期货运行渐趋成熟 国泰君安证券 蒋瑛琨 何 苗 沪深300股指期货挂牌上市以来,时间虽短,但定价效率较高、流动性很好,而且价格发现功能凸显。目前期指在很多日内时段领先于现货,期指成交金额占A股主板市场的比例与海外市场持平甚至超越,已达到发达国家推出期货3到6个月之后的效果。 值得注意的是,目前期指的隔夜持仓量占成交量比例约为7%,远低于海外市场期货推出初期的水平。沪深300期指推出初期持仓量较低与投资者结构有关,在机构尚未大规模入市的情况下,当前活跃的成",财经
"合肥环保局称禁噪效果明显 家长要求更严格 昨天是高考首日,合肥环保执法人员执行了最严格的禁噪措施,要求白天距考场周边100米范围内禁止建筑施工。不过,家长们的要求更严格,大约5家工地的工人打扫卫生时产生了一些声响,也让家长们担心吵到考生。 打扫卫生惊动家长 高考两天,合肥市环保局要求,白天距考场周边100米范围内,禁止产生噪声污染的建筑工程施工作业,禁止产生噪声污染的商业、歌舞娱乐等活动。昨天上午8时许,合肥市环保局派出多支检查组,开始巡查全城,随时根据家长投诉进行查处。 上午",教育
"期货投资咨询业务五一开闸 8000万门槛维持原判 杨颖桦 核心提示:值得注意的是,随着股指期货的推出,证券机构可能会在证券咨询业务活动涉及到股指期货,但这次的《试行办法》并未涉及此项业务规定。 4月1日下午,中国证监会发布《期货公司期货投资咨询业务试行办法》,该办法将在5月1日正式实施,这意味着,期货界期待已久的期货投资咨询业务将于届时正式开闸。 8000万门槛维持“原判” 资格门槛是业内最为关心的问题之一。对此,证监会有关部门负责人对记者指出,《试行办法》主要是从资本实力和合规角度对",财经
"小才女欲效仿蒋方舟 希望写作给自己加分 本报讯 7月27日,第三届全国中小学生创新作文大赛在中山大学落幕。来自重庆永川北山中学初三年级的李雨澈,再次获得了初中组一等奖。这个漂亮的女生从参加第一届比赛开始,共拿了一次特等奖、两次一等奖,是作文大赛中名副其实的常胜将军。 创新作文大赛由北京大学、《课堂内外》杂志社主办,是全国规模最大、最有影响力的两项中小学生作文大赛之一。经过激烈的初赛和复赛,最终有来自北京、上海、天津等26个省市的近400名选手,从100万名学生中脱颖而出,参加",教育
"四川高考一本招生8月4日开录 录取现场探秘 -预计明天结束,省内媒体记者获准进入录取场采访 -省教育考试院:绝不违规录取,绝不降低标准录取 昨天,我省今年普通高校招生录取的“重头戏” 本科第一批录取新生工作正式展开,北京大学、清华大学、四川大学等开始成批录取我省新生。据悉,“一本”批次录取预计明天结束。 今年普通高校在我省招生录取工作自上月25日开始艺体院校本科录取,预计会持续到9月9日。据悉,除了艺体院校分本科、专科两段录取外,其余录取将分成六个批次 提前批录取已经结束。 昨天",教育
"信贷资产类理财产品火线调查 银行割肉优质资产 基础资产质量大考 非保本背后玄机 本报记者 陈昆才 上海报道 “我们是在割肉。”9月14日,一家股份制银行内部人士直言。 割肉,即将优质信贷资产,很多是今年的新增贷款,通过信托平台出售出去,而“刀法”颇为简单,就是银行自己发售理财产品。 为何选择此时下刀?一家大行理财专家称,因为部分银行迫于资本约束,控制信贷额度,分行没有办法,只能选择转出信贷资产。 在此背景下,信贷资产类理财产品迎来火热行情。9月11日,普益财富发布的报告称,9月4日",财经
"次新股基生不逢时 近九成沦陷仅13只赚钱 本报讯 记者敖晓波 刚刚上涨两周的A股市场本周又重新步入了回调之旅,而去年成立的93只股票型基金可谓“生不逢时”。Wind数据显示,截至11月7日,去年成立的股票型基金近九成亏损,仅余13只累计净值在1元以上。 Wind数据显示,截至2011年11月7日,在2010年成立的93只股票型基金中 含指数型基金 ,仅有13只基金累计净值在面值以上,成为去年成立的基金中为数不多赚钱的基金。其中,诺安中小盘精选、光大保德信中小盘、新华行业周期轮换",财经
"西安交大自主招生今起网上报名 招生300人左右 2009年高考报名工作还未启动,记者11月14日采访获悉,2009年全国将有68所高校实行自主招生,省内5所高校的自主招生报名工作将于近期陆续启动。 据悉,自主招生是扩大高校自主权、深化高校招生录取制度改革的重要举措;也是高校实施“以统一考试录取为主,多元化考试评价”相结合的创新人才选拔机制的探索,这项措施实施几年来,在部分高校中实施效果较好。我省目前获得自主招生资格的学校为西安交通大学、西北工业大学、西安电子科技大学、西北农林科技大学",教育
"期市升温推动IB业务竞争加剧 期货公司需加强培训和风控流程支持 本报记者 金士星 中国期货市场目前已成为仅次于美国的全球第二大期货市场,这使得券商为旗下期货公司提供的中间介绍业务 IB 有了更大的发展空间,各家券商的IB业务量稳步成长。但IB业务人员在实际业务操作中依然面临着不少问题,与券商其他新兴业务不同,IB业务在开展初期就面临着激烈的竞争。 IB业务开发的探索 2007年,自沈阳一家期货公司的股指期货部门离职后,佟辉加入广发证券并由此成为了国内最早的券商期货I",财经
"09年东北财经大学会计学考研真题解析 更多信息请访问:新浪考研频道 考研论坛 考研博客圈 特别说明:由于各方面情况的不断调整与变化,新浪网所提供的所有考试信息仅供参考,敬请考生以权威部门公布的正式信息为准。",教育
"杜震宇:国足不像一支球队 外界凭啥只对足球尖刻 体坛网记者马德兴马斯喀特报道 北京时间12月20日,国足0比2伊朗,四国赛小组垫底。作为球队的中坚,杜震宇表示,“中国队还不像一支球队。”同时,虽然小组垫底,杜震宇希望外界不再用苛刻的眼光看待中国足球。 “今天比赛输球很正常,在意料之中,我们与伊朗队的整体实力有差距。最主要的问题是,我们的队员都不在状态。”杜震宇认为,“从这两场比赛来看,我们暴露出最大的问题是缺乏组织,今天伊朗赢在哪里?就是球队的组织,踢起来像一个球队。而中国队像吗?”",体育
"沙特猛将远射差之毫厘 王刚单骑叩关对手铲球破坏 新浪体育讯 北京时间6月6日,中国国奥队在上海与沙特国奥队进行了伦敦奥运会预选赛之前的一场重要热身赛。 比赛进行到26分钟,沙特队在中国队禁区外进行倒脚后,阿尔-卡米突然起脚冷射,王大雷随即飞身作出鱼跃动作。皮球擦门柱划出。 第28分钟,中国队在前场形成攻势,曹?定停球后王刚顺势将球领走用速度突破了沙特防线,沙特后卫在其起脚前倒地铲球将球破坏。 上半时双方依然是0-0。",体育
"南昌媒体:和京骂比畜生只是中性词 球场不是修道院 中超次轮,南昌与广州比赛中“球迷DJ”骂裁判一事被炒得沸沸扬扬,成为当轮场外的最大话题。赛区是否会受到处罚目前仍不清楚,中国足协今日下午将召开新赛季首次例行新闻发布会,对新赛季中超中甲联赛事宜进行通报。 A 喇叭和骂声分开看 与广州队的比赛,有球迷将高音喇叭和音箱设备带上了看台,比赛开始前以及整个上半场,大多数时间内,球迷都是在用高音喇叭引领大家为主队加油,现场气氛也被渲染地很热烈。不过上半场比赛中当值主裁徐富新以及两名边裁的一些判罚却",体育
