label,category,text,text_processed
0,体育,"鲁能全华班防线缺的是大哥 最佳新人这一次又漏了 新浪体育讯 鲁能今年成绩一落千丈,脆弱的后防线也成为了千夫所指的罪人。而在今天的比赛里,马季奇大胆的换下全部外援,组成了一条全华班的后防线,然而球队的防线却依旧没有改善,特别是去年最佳新人郑铮更是屡屡犯错。 本赛季才刚刚进行了7轮中超联赛和6轮亚冠联赛,但是山东鲁能的后防线却已经丢掉了17球,场均失球达到惊人的1.4球。而在山东鲁能的后防线的组合中,已经尝试了多种组合,然而却没有一种配置能够稳定防线。本赛季重金引进的雷纳托在打了几场比赛",鲁能 全华班 防线 大哥 最佳 新人 一次 新浪 体育讯 鲁能 今年 成绩 一落千丈 脆弱 后防线 成为 千夫所指 罪人 今天 比赛 马季奇 大胆 换下 全部 外援 组成 一条 全华班 后防线 然而 球队 防线 依旧 没有 改善 特别 去年 最佳 新人 郑铮 更是 屡屡 犯错 本赛季 刚刚 中超联赛 轮亚冠 联赛 山东鲁能 后防线 已经 丢掉 17 场均 失球 达到 惊人 1.4 山东鲁能 后防线 组合 已经 尝试 多种 组合 然而 没有 一种 配置 能够 稳定 防线 本赛季 重金 引进 雷纳托 几场 比赛
0,体育,"AC米兰“新援”重返米兰内洛 接受教练安排甘打右后卫 记者王勤伯米兰报道 浅色皮夹克、重皮鞋,保镖随身,回头对围栏外惊呼的球迷挥手......贝克汉姆就是贝克汉姆,在米兰内洛一亮相,举手投足如同好莱坞明星。 重返米兰内洛 周一中午,私人飞机将刚在英国过完圣诞的小贝送到米兰。马尔彭萨机场两个航站楼,小贝从没记者守候的那一个钻出来,捉迷藏的技巧他早烂熟于胸。 机场距离米兰内洛不到20分钟车程。大批球迷在围栏外欢迎度假归来的球星们,也有很多人来此就是为了贝克汉姆。小贝向他们挥手后,与熟悉的门卫拥",AC 米兰 新援 重返 米兰 内洛 接受 教练 安排 甘打 右后卫 王勤伯 米兰 报道 浅色 皮夹克 皮鞋 保镖 随身 回头 围栏 惊呼 球迷 挥手 ...... 贝克汉姆 就是 贝克汉姆 米兰 内洛一 亮相 举手投足 如同 好莱坞 明星 重返 米兰 内洛 周一 中午 私人 飞机 英国 圣诞 小贝 送到 米兰 马尔 彭萨 机场 两个 航站楼 小贝 从没 守候 钻出来 捉迷藏 技巧 烂熟 机场 距离 米兰 内洛 不到 20 分钟 车程 大批 球迷 围栏 欢迎 度假 归来 球星 很多 人来 就是 为了 贝克汉姆 小贝 挥手 熟悉 门卫
2,财经,"期货程序化交易系统的检验与实战 南华期货 随着我国股票和期货市场的不断发展,越来越多的投资者开始建立交易系统来指导自己的投资行为。很多投资者在设计和使用交易系统时常常遇到的一个问题是:为什么自己的交易系统在使用历史数据检测时表现优异,但是用于实战就表现平平呢? 一般的分析者在分析这个问题时主要将原因归结为投资者没有严格按照系统操作,历史数据准确度低等等。而实际上一个至关重要且被很多人忽视的原因是,此交易系统在检测时使用了不适当的检测方法,也就是说,你所看到的交易系统在",期货 程序化 交易系统 检验 实战 南华 期货 随着 我国 股票 期货市场 不断 发展 越来越 投资者 开始 建立 交易系统 指导 自己 投资 行为 很多 投资者 设计 使用 交易系统 常常 遇到 问题 为什么 自己 交易系统 使用 历史数据 检测 表现 优异 用于 实战 表现 平平 一般 分析 分析 这个 问题 主要 原因 归结为 投资者 没有 严格 按照 系统 操作 历史数据 准确度 等等 实际上 至关重要 很多 忽视 原因 交易系统 检测 使用 适当 检测 方法 也就是说 看到 交易系统
0,体育,"图文-职业锦标赛郑州站次轮 杨金标 新浪体育讯 北京时间9月24日消息:中国职业高尔夫球锦标赛第二轮比赛在圣安德鲁斯 郑州 高尔夫俱乐部雨中开球,目前上午出发的球手已陆续返回会所。在完成18洞的选手中,韩国球手严载雄交出67杆后,两轮成绩138杆 -6 冲上单独领先位。来自首轮领先列的苏东、李超、袁浩、马修米勒等球手下午刚刚出发。图为职业高尔夫球锦标赛郑州站次轮精彩瞬间。 摄影:老高",图文 职业 锦标赛 郑州 站次 杨金标 新浪 体育讯 北京 时间 24 消息 中国 职业 高尔夫球 锦标赛 第二轮 比赛 安德鲁斯 郑州 高尔夫 俱乐部 雨中 开球 目前 上午 出发 球手 陆续 返回 完成 18 选手 韩国 球手 严载雄 交出 67 杆后 两轮 成绩 138 冲上 单独 领先 来自 首轮 领先 苏东 李超 袁浩 马修 米勒 球手 下午 刚刚 出发 图为 职业 高尔夫球 锦标赛 郑州 站次 精彩 瞬间 摄影 老高
0,体育,"西甲-梅西2球并献助攻 巴萨3-1逆转仍领先皇马8分 新浪体育讯 北京时间4月10日02:00 西班牙当地时间9日20:00 ,2010/11赛季西班牙足球甲级联赛第31轮一场焦点战在诺坎普球场展开角逐,巴塞罗那主场3比1取胜阿尔梅利亚,梅西打入2球并助攻蒂亚戈进球。 巴萨历史上11次联赛对阵阿尔梅利亚取得8胜3平保持不败,其中5个主场取得全胜,打入16球且大门不失。巴尔德斯和布斯克茨双双停赛缺阵,平托赛前摆脱左脚踝伤病首发出场,米利托、马克斯维尔、蒂亚戈和博扬轮换首发出场。 第22分钟,",西甲 梅西 助攻 巴萨 逆转 领先 皇马 新浪 体育讯 北京 时间 10 02 00 西班牙 当地 时间 20 00 2010 11 赛季 西班牙 足球 甲级联赛 31 一场 焦点 战在诺 坎普 球场 展开 角逐 巴塞罗那 主场 取胜 阿尔梅 利亚 梅西 打入 助攻 亚戈 进球 巴萨 历史 11 联赛 对阵 阿尔梅 利亚 取得 保持 不败 主场 取得 全胜 打入 16 球且 大门 不失 巴尔德斯 布斯 克茨 双双 停赛 缺阵 平托 赛前 摆脱 脚踝 伤病 首发 出场 米利托 马克 斯维尔 亚戈 博扬 轮换 首发 出场 22 分钟
0,体育,"图文-中信银行青少年总决赛次轮 尹峰儒 新浪体育讯 北京时间9月19日,2010年中信银行青少年高尔夫球对抗赛总决赛在北京宝兴高尔夫球会结束第二轮角逐,各组冠军纷纷出炉。石昱婷在次轮交出73杆后,两轮成绩141杆,五杆优势获得女子C组冠军,彭博次轮打出37杆,两轮72杆获得男子D组冠军。图为中信银行青少年高尔夫球对抗赛次轮精彩瞬间。 摄影:赵维君",图文 中信银行 青少年 总决赛 次轮 尹峰 新浪 体育讯 北京 时间 19 2010 中信银行 青少年 高尔夫球 对抗赛 总决赛 北京 宝兴 高尔夫球会 结束 第二轮 角逐 各组 冠军 纷纷 出炉 石昱婷 交出 73 杆后 两轮 成绩 141 五杆 优势 获得 女子 冠军 彭博次 打出 37 两轮 72 获得 男子 冠军 图为 中信银行 青少年 高尔夫球 对抗赛 次轮 精彩 瞬间 摄影 赵维君
3,教育,"60余所一本院校预估2009年安徽报考线 7月2日起,今年高招本科各批次志愿就将填报。今年,清华、北大、中科大这些名校的报考“门槛”究竟有多高?多少分的考生才能报考? 昨日,由中国科技大学和合肥工业大学联合举办的2009年教育部直属高校与部委高校在皖招生咨询活动举行。70余所教育部直属及部委属院校和列入我省一本批次录取的院校参加了咨询活动。记者从咨询会现场特别为考生遴选了60余所省内外知名本科院校,记录招办老师与考生及家长们的招生问答,供考生及家长填报志愿时参考。 需特别提醒的",60 余所 一本 院校 预估 2009 安徽 报考 日起 今年 高招 本科 批次 志愿 填报 今年 清华 北大 中科大 这些 名校 报考 门槛 究竟 多少 考生 才能 报考 昨日 中国科技大学 合肥工业大学 联合 举办 2009 教育部 直属 高校 部委 高校 招生 咨询 活动 举行 70 余所 教育部 直属 部委 院校 列入 我省 一本 批次 录取 院校 参加 咨询 活动 咨询会 现场 特别 考生 遴选 60 余所 省内外 知名 本科 院校 记录 招办 老师 考生 家长 招生 问答 考生 家长 填报 志愿 参考 特别 提醒
1,科技,"挥泪甩卖 直降百元柯达M420时代特价 柯达M420数码相机支持4倍光学变焦,28mm广角拍摄能力,而且能够自动修正畸变形,算作是一款不错的入门机型。而近期编辑就从市场上再次了解到柯达M420节后结尾有了大幅下降,报价一度跌至750元,比之前下降了500多,价位上如此大的冲击对于购机者来说也是一个很好的抢购机会。喜欢此款相机的网友可以去天津兄弟科技时代数码广场250专柜咨询体验。 作为超薄卡片机的代表,柯达M420机身采用金属质地,让它在使用上极富手感。此机整体以黑色调为主。",挥泪 甩卖 降百元 柯达 M420 时代 特价 柯达 M420 数码相机 支持 光学 变焦 28mm 广角 拍摄 能力 而且 能够 自动 修正 畸变 算作 一款 不错 入门 机型 近期 编辑 市场 再次 了解 柯达 M420 节后 结尾 大幅 下降 报价 一度 跌至 750 之前 下降 500 价位 如此 冲击 对于 购机 来说 抢购 机会 喜欢 此款 相机 网友 可以 天津 兄弟 科技时代 数码广场 250 专柜 咨询 体验 作为 超薄 卡片机 代表 柯达 M420 机身 采用 金属 质地 使用 极富 手感 此机 整体 黑色 为主
1,科技,"数据显示世界杯相关Twitter消息大多无意义 新浪科技讯 北京时间6月22日晚间消息,据国外媒体报道,美国网站Esquire进行的一项研究显示,大部分与世界杯相关的Twitter消息没有实际意义。 数据显示,世界杯期间每场比赛时间段中Twitter消息数量达30万条,有时甚至达到每秒3000条,是Twitter平均水平的4倍。这表明,世界杯是互联网历史上规模最大的事件之一。然而,大部分这些Twitter消息并不会提升用户观看世界杯的体验。 通过Twitter,用户可以在所支持球队进",数据 显示 世界杯 相关 Twitter 消息 大多 意义 新浪 科技 北京 时间 22 晚间 消息 国外 媒体报道 美国 网站 Esquire 一项 研究 显示 大部分 世界杯 相关 Twitter 消息 没有 实际意义 数据 显示 世界杯 期间 每场 比赛 时间段 Twitter 消息 数量 30 万条 有时 甚至 达到 每秒 3000 Twitter 平均水平 表明 世界杯 互联网 历史 上规模 最大 事件 之一 然而 大部分 这些 Twitter 消息 不会 提升 用户 观看 世界杯 体验 Twitter 用户 可以 支持 球队
3,教育,"79所重点校在河南扩招859人 本一志愿填报开始 截至昨日16时,省外有79所全国重点院校在我省增加招生计划859人,其中文科194人,理科665人。本科一批的征集志愿将于今天24:00后开始填报,届时考生可上网填报。 79所重点高校扩招859人 清华扩招38人,北大扩招39人,人大扩招20人,武大扩招64人......昨日上午11:00,重点批次第一志愿投档结束,各高校纷纷“亮剑”,招生计划增幅之大让人欣喜。重点批次多所高校纷纷扩招,这让我省的生源优势进一步得到凸显。 由于高分考生报",79 重点校 河南 扩招 859 本一 志愿 填报 开始 截至 昨日 16 省外 79 全国 重点 院校 我省 增加 招生 计划 859 文科 194 理科 665 本科 一批 征集 志愿 今天 24 00 开始 填报 届时 考生 上网 填报 79 重点高校 扩招 859 清华 扩招 38 北大 扩招 39 人大 扩招 20 武大 扩招 64 ...... 昨日 上午 11 00 重点 批次 第一 志愿 投档 结束 高校 纷纷 亮剑 招生 计划 增幅 之大 欣喜 重点 批次 多所 高校 纷纷 扩招 我省 生源 优势 进一步 得到 凸显 由于 高分 考生
0,体育,"江苏洋帅赛前示弱 教练:面具人归来可与广东争锋 自从执教南钢队以来,外教杰森带给了球队很多东西,不过他本人也从中国篮球从江苏篮球身上学到了一些东西,其中最重要的一条就是 “低调”。 昨天,在球队从杭州抵达比赛地中山后,杰森在酒店大堂把队员们召集在一起:“我现在只想告诉你们,打浙江的最后6分钟是我见过的你们打得最好的一段时间。现在大家的任务就是休息好,明天的比赛不用多想,拼出来就行,拼出来就是胜利。”一向信心十足的杰森再次遇到卫冕冠军时选择了“示弱”。 “尽管广东实力比我们强,可每次打",江苏 洋帅 赛前 示弱 教练 面具 归来 广东 争锋 自从 执教 南钢队 以来 外教 杰森 带给 球队 很多 东西 不过 本人 中国篮球 江苏 篮球 身上 学到 东西 重要 一条 就是 低调 昨天 球队 杭州 抵达 比赛 中山 杰森 酒店 大堂 队员 召集 一起 现在 只想 告诉 浙江 最后 分钟 最好 一段时间 现在 大家 任务 就是 休息 明天 比赛 不用 多想 拼出来 就行 拼出来 就是 胜利 一向 信心十足 杰森 再次 遇到 卫冕冠军 选择 示弱 尽管 广东 实力 每次
1,科技,"苹果拟对实体店作些改变:员工将穿同色T恤衫 新浪科技讯 北京时间10月30日凌晨消息,据国外媒体昨日报道,为了更好地适应即将到来的假期季节,苹果正准备对旗下实体零售店作出一些改变,如提高付款程序的效率等。 据IfoAppleStore网站报道,苹果对实体零售店所作出的第一项改变将是收回此前推出的彩色编码T恤衫,原因是穿着不同的零售店员工令消费者搞不清楚哪些员工负责何种工作。报道称,苹果零售店的所有员工都将穿回同一颜色的T恤衫,但其颜色将每几个月一变。 另一项更加重要的改变则是,苹",苹果 实体店 作些 改变 员工 同色 T恤衫 新浪 科技 北京 时间 10 30 凌晨 消息 国外 媒体 昨日 报道 为了 更好 适应 即将 到来 假期 季节 苹果 准备 旗下 实体 零售店 作出 改变 提高 付款 程序 效率 IfoAppleStore 网站 报道 苹果 实体 零售店 作出 第一项 改变 收回 此前 推出 彩色 编码 T恤衫 原因 穿着 不同 零售店 员工 消费者 搞不清楚 哪些 员工 负责 何种 工作 报道 苹果 零售店 所有 员工 同一 颜色 T恤衫 颜色 几个 一变 一项 更加 重要 改变
2,财经,"基金补仓仍需控制风险 德圣基金研究中心 读者来信: 首席分析师江赛春老师,您好!现在好多基金的净值都大幅下挫,五毛以下的基金很多,而且封闭式基金的折价率也在不断攀高,看上去有一定的投资机会,所以我想趁机补仓,毕竟市场不会一直这么跌下去。目前暂定:1.广发聚丰、2.天治核心增长、3.摩根士丹利华鑫行业、4.嘉实300,另外还想买一点折价率稍高的封闭式基金,基金景宏、基金久嘉好像不错。我的思路可行吗?还请指教。 股市大跌,基金也难以独善其身,净值被“腰斩”的现象",基金 补仓 控制 风险 德圣 基金 研究 中心 读者来信 首席 分析师 江赛 老师 您好 现在 好多 基金 净值 大幅 下挫 五毛 以下 基金 很多 而且 封闭式 基金 折价率 不断 攀高 看上去 一定 投资 机会 趁机 补仓 毕竟 市场 不会 一直 这么 跌下去 目前 暂定 广发 聚丰 天治 核心 增长 摩根士丹利 华鑫 行业 嘉实 300 另外 一点 折价率 封闭式 基金 基金 景宏 基金 好像 不错 思路 可行 指教 股市 大跌 基金 难以 独善其身 净值 腰斩 现象
1,科技,"PE爆发增长后获利渐难 未来一年退出率或下降 每经记者 徐皓 发自上海 近年来全球股权私募基金正在发生一些显著的变化。根据GrantThornton京都天华会计师事务所 以下简称GT京都天华 近年来对全球股权私募基金跟踪调研发现,投资资金的热点更多地从成熟市场转向新兴市场,同时PE的投资也更为审慎,更为注重企业的成长并更加深入地参与到被投资企业的管理中。而投资标的也从传统产业向消费、新兴产业等方向转移。GT京都天华最新调研结果显示,全球约60%的私募股权基金认为未来一年投资活动将增",PE 爆发 增长 获利 渐难 未来 一年 退出 下降 每经 徐皓 发自 上海 近年来 全球 股权 私募 基金 正在 发生 显著 变化 根据 GrantThornton 京都 天华 会计师 事务所 以下 简称 GT 京都 天华 近年来 全球 股权 私募 基金 跟踪 调研 发现 投资 资金 热点 成熟 市场 转向 新兴 市场 同时 PE 投资 更为 审慎 更为 注重 企业 成长 更加 深入 参与 投资 企业 管理 投资 标的 传统产业 消费 新兴产业 方向 转移 GT 京都 天华 最新 调研 结果显示 全球 60% 私募 股权 基金 认为 未来 一年 投资 活动
1,科技,"优万CEO叶蓬:做中国最有名气的3D虚拟世界 比特网 Chinabyte 12月9日消息 “因为技术门槛相对很高再加上目前中国互联网用户对于3D虚拟世界认知度还不够高,国内目前这一领域还没有特别出彩的企业,但完全基于开放性平台操作的虚拟社区网站相对于网络游戏来说有更加广阔的商业前景,这一市场也将会随着消费者的认同而逐渐火热起来,优万科技的目的,就是做成中国最有名气的3D虚拟社区。” 把生活当中一些寄情于学习、娱乐的兴趣转嫁到网络的3D虚拟世界当中,在虚拟世界里面通过虚拟的自己来达到",优万 CEO 叶蓬 中国 有名气 3D 虚拟世界 比特 Chinabyte 12 消息 技术 门槛 相对 加上 目前 中国 互联网 用户 对于 3D 虚拟世界 认知度 不够 国内 目前 这一 领域 没有 特别 出彩 企业 完全 基于 开放性 平台 操作 虚拟社区 网站 相对 网络游戏 来说 更加 广阔 商业 前景 这一 市场 随着 消费者 认同 逐渐 火热 起来 优万 科技 目的 就是 做成 中国 有名气 3D 虚拟社区 生活 当中 寄情 学习 娱乐 兴趣 转嫁到 网络 3D 虚拟世界 当中 虚拟世界 里面 虚拟 自己 达到
