label,category,text,source_file
0,体育,"佩特罗夫追尾舒米调查结果:俄罗斯人下站被罚退5位 新浪体育讯 雷诺车手佩特罗夫因追尾舒马赫一事,被罚下站退后5位发车,并给予口头警告。 F1韩国站的第16圈,雷诺车手佩特罗夫在3号弯尝试超越舒马赫的过程中失控,R31以极高的速度追上W02的车尾。 这次事故导致舒马赫的尾翼折断,F1七冠王直接退出了比赛。佩特罗夫尽管设法将赛车开回了维修站,但终因赛车受损严重不得不提前收工。 F1韩国站干事在比赛中途宣布对这起事件展开调查,最终决定对佩特罗夫处以下一站退后5位发车额的处罚,并给予口头警告。",18647.txt
1,科技,"彭少彬:新浪微博开放平台有助信息更好流动 新浪科技讯 4月24日上午消息,新浪副总裁、微博事业部总经理彭少彬今日在宁波出席“春回燕归 精英峰会”时表示,中国互联网的发展,需要信息流更好的流动,而新浪微博平台在信息流通协议方面的开放将更好的对此进行推动。 宁波市政府、浙江大学、中国电信浙江公司今日在宁波联合举行“春回燕归 精英峰会”,围绕云计算、智慧城市等主题,进行探讨和交流。 彭少彬介绍说新浪2009年抓住机会,在中国推出微博产品,到目前的发展已经越来越迅速。他给出的数据显示,",574719.txt
2,财经,"多头有备而来 郑糖上演逼空行情 周一,白糖市场各个盘面继续大幅上涨,在中小散户获利平仓作用下一度高开低走,但郑盘收盘仍然高踞,大量多单压着高价收盘。收盘时,1005合约报4788元/吨,较前一日上涨179元,涨幅为3.88%。 现货盘和期货盘步调一致但走法不一,显示了郑盘多头资金已经基本上甩开了2008/09榨季的基本面,凸显其金融属性,多头开始死磕空头,直到有人投降为止。 前期多头资金曾经犹豫过一阵子,但青海会议无疑坚定了多头的信心,为上涨行情添上一把火。青海会议期",822784.txt
0,体育,"科比送门徒亲笔签名球鞋 称绝杀如打喷嚏一般轻松 新浪体育讯 7月26日周一下午17:30,北京世纪剧院将来亚洲首场“NIKE科比24Live”脱口秀。该节目是以科比为核心的谈话节目,在耐克邀请科比世界巡回期间在全球各地演出。以下为科比脱口秀实录节选: 主持人Alex:现在就欢迎我们今天的神秘嘉宾。 主持人于嘉:有请张宇星。 张宇星:大家好!我是来自北京的张宇星。 主持人于嘉:站在这儿跟大家打个招呼。 张宇星:大家好!我是来自北京的张宇星。 主持人于嘉:科比还记得他吗? 科比:我记得他",97543.txt
1,科技,"贵族相机徕卡M9钛金版 购机就送16G卡 泡泡网数码相机频道2月22日 徕卡公司与大众汽车集团合作,推出一款全宇宙限量500台的徕卡旁轴数码相机M9。而最主要的特色就是该款M9的机身几乎全部使用钛金属打造。 徕卡 LEICA M9 钛银限量版套机 参考价格 235000元 商家名称 北京五岳天海科技有限公司 联系方式 010-82699149 13811165817 联 系 人 蒋经理 联系地址 北京市海淀区海淀大街鼎好电子大厦B座11层1101室 报价查询 数码相机产品报价",499195.txt
1,科技,"真正实惠 LG 47寸液晶电视惊曝6150元 中关村在线电视频道原创 作为合资品牌中的佼佼者,LG液晶电视一直凭借出色的画质和良好的服务深受广大消费者的喜爱。近日经销商降价促销,这款LG 47LH30RC 参数 图片 论坛 液晶电视仅售6150元,性价比出众,有兴趣的朋友可以考虑一下。 编辑点评:这款LG47?液晶电视虽然在技术上并没有加入最先进的LED背光源,但是对于一般家庭接收电视信号来讲不会受到任何影响。同时采用色彩还原效果更好的IPS硬屏,画面整体更加饱满明艳。目前经销商促",527544.txt
0,体育,"布帅国奥首训树旗昆明 海外拉练改道埃及热身三场 布帅首训树旗昆明 海外拉练改道埃及 本报驻京记者 顾晨 远在克罗地亚休假的布拉泽维奇时刻惦记着中国国奥队。经过他的修改,国奥队首训改在昆明树旗,随后于明年1月中旬出访埃及,将近一个月的首期集训对于布氏国奥至关重要。 虽然还在千里之外的克罗地亚度假,但是布拉泽维奇并没有完全沉浸在天伦之乐中,但保持着同中国足协的热线联系,为国奥队即将开始的首期集训做最后的准备。参加首期集训的25人大名单已经确定,如果一切正常,足协将于今天公布名单。对于上海",115732.txt
0,体育,"连续五年无缘季后赛? 加强版东北虎本季要当黑马 城市晚报讯 信心源于实力,当吉林九台农商银行东北虎队再次喊出冲击季后赛口号时,将帅的目光和言语中,自信的成分明显比前几个赛季增多。自2005-2006赛季获得联赛第八名后,东北虎已经多年未能进入前八。经历过阵痛,经历过新老交替的艰难,如今,当于澍龙等一批新生代逐渐挑起大梁,东北虎开始逐渐反弹。若将“提高”进行量化,主教练王晗说,本赛季这批队员若与上赛季的阵容对抗,至少能赢10分。 【执教篇】 为何要从自己先改变? 太激动会影响大局观 上",12944.txt
0,体育,"图文-无缘世界杯伊布海滩度假 欣赏自己的纹身 新浪体育讯 当地时间2010年6月3日,在美国迈阿密,巴萨前锋伊布拉希莫维奇海滩度假,穿性感短裤秀强健身姿,展现红色龙形纹身。图为伊布低头欣赏纹身。",54129.txt
3,教育,"解析山东高考文综卷:难易适中设问具体易入手 组图 据悉,今年高考文综科目中历史占78分,地理78分,政治84分,总分240分。 政治:设问具体易入手没出现开放题 “今年的政治题难易适中,材料题设问具体,没有出现开放题,所以考生回答起来会很有针对性。”烟台三中政治老师刘慧娟介绍,今年政治试题比较简单,问题设置很“直白”,考察知识点都属于平时学生练习的重点问题。 刘慧娟老师介绍,今年政治在240分的文科综合中占84分,如果不出失误,成绩优秀的考生能答70多分。 今年政治试题的一个特点就是材",308011.txt
3,教育,2010年高考理科综合试题及答案 全国卷II 适用地区:贵州 云南 甘肃 新疆 内蒙古 青海 名师点评2010高考物理真题 化学真题 生物真题 3、提交后系统将自动生成所得分数。 点击此立即参与2010年高考理综试题大讨论 全国卷II,302300.txt
3,教育,"福建2010高考分数线划定 一本文科557理539 东快网讯 2010年福建高考录取分数线已划定如下: 理工本科一批为539分,本科二批472分,本科三批433分; 文史本科一批557分,本科二批494分,本科三批464分; 理科专科分数线270分,文科专科333分。",302872.txt
2,财经,"2010年艺术品拍卖有望200亿 业内称暂时无泡沫 香港佳士得春拍刚刚收槌,业界乐得眉开眼笑 “世界拍卖巨头苏富比和佳士得,今春分别创下最高和次高单季成交纪录,以香港为中心的亚洲艺术品市场呈现一派春暖花开的繁荣景象”。 “可以这么说,我们对这个市场非常乐观。”中国嘉德广州国际拍卖有限公司副总裁许习文在接受羊城晚报记者独家专访的时候坦言:“我有信心今年的夏拍比去年同期要好,比去年的冬拍也要好! 广东艺术品市场有望再攀高峰 作为亚洲拍卖市场风向标,苏富比在4月3日敲响香港春季拍卖第一槌。总成",800711.txt
3,教育,"备考指南:高三备课组组长支招冲刺高考 编者按:离6月7日高考开考仅有两周的时间。在这关键的13天里,考生如何进行高效率的复习?如何进行自我心理调节?家长如何照顾考生的饮食起居?信息时报今日邀请多位高三毕业班资深老师、著名心理专家还有营养专家,为考生及家长提供全方位、最实用的备考指南。同时,信息时报还联合新浪网站,连续5天开通咨询热线,欢迎家长、学生来电咨询。 冲刺攻略 由广州各大重点中学高三备课组组长就最后冲刺阶段该如何分配有限的时间,达到最佳的复习效果,以及具体科目又该重",295926.txt
1,科技,"科学家在地球周边发现反物质带 图 新浪科技讯 北京时间8月9日消息,科学家近期首次在地球周围空间探测到一种反物质----反质子粒子构成的狭长条带。 这一刊载于《天体物理学通报》的论文中描述的结果证实了之前的理论预测,即地球的磁场能够俘获反物质粒子。 该科学家小组称他们在地球的范艾伦辐射带两个层面之间的区域发现了少量的反物质粒子。但尽管很少,研究人员们相信这些反物质将足以供给未来的反物质推进太空飞船所需。 这些反物质是由Pamela卫星发现的,这颗卫星的名字Pamela是",485166.txt
0,体育,"国际米兰低调庆夺冠 狂人球场斗记者怀疑安帅自传造假 记者陈晶晶报道 对国米来说,上周日的90分钟本就只是夺冠仪式中的一部分,不识时务的亚特兰大险些坏了这场好戏的气氛,好在伊布拉没有让蓝黑军团的这个结尾显得过于狼狈。 狂人卖乖不停 上周日下午,国米教练席显得很空。决心让贤的莫里尼奥一开始一直倚着椅背站在旁边观看比赛,而对于他的替身们来讲,跌宕起伏的比赛过程实在是令他们难以安然入座。 上轮赛后,莫里尼奥就宣布赛季最后一场希望把教练席让给助手们以表示对他们的感谢。上周六下午狂人也一口气叫上了教",29628.txt
0,体育,"日本NEC杯快棋赛半决赛 张栩胜河野临率先晋级 谱 新浪体育讯 点击观看棋谱 日本第28期NEC杯快棋赛半决赛今天在德岛市进行,张栩九段执白以3目半的优势战胜河野临九段晋级决赛。 NEC杯创办于1981年,冠军奖金1700万日元。比赛采取单败淘汰制。决赛一局定胜负。比赛用时为每方10分钟,之后每手棋30秒。快棋高手大竹英雄九段、依田纪基九段、加藤正夫九段都曾多次夺取冠军。从第24期开始NEC杯上演新老交替,张栩九段、河野临九段等更棋手接连夺冠。 张栩九段是2008年日本棋坛的风云人物,夺",55209.txt
3,教育,"广东中山市高校招生咨询会本月29日举行 南方日报讯 记者/胡明 记者昨天从中山市招考办获悉,“中山市2011年普通高等学校招生现场咨询会”将于6月29日在电子科大中山学院举办。届时,参展高校将派出招生工作人员现场接受考生、家长面对面咨询。 据悉,是次咨询会将为考生、家长提供普通高等学校招生宣传有关方针、政策及招生信息,为广大考生提供与招生学校面对面咨询的机会,帮助考生更好地了解今年的招生信息,科学填报志愿。 市招考办表示,参展院校须为经教育部批准在广东省有招生计划的普通高校。",308288.txt
0,体育,"西甲-梅西2球并献助攻 巴萨3-1逆转仍领先皇马8分 新浪体育讯 北京时间4月10日02:00 西班牙当地时间9日20:00 ,2010/11赛季西班牙足球甲级联赛第31轮一场焦点战在诺坎普球场展开角逐,巴塞罗那主场3比1取胜阿尔梅利亚,梅西打入2球并助攻蒂亚戈进球。 巴萨历史上11次联赛对阵阿尔梅利亚取得8胜3平保持不败,其中5个主场取得全胜,打入16球且大门不失。巴尔德斯和布斯克茨双双停赛缺阵,平托赛前摆脱左脚踝伤病首发出场,米利托、马克斯维尔、蒂亚戈和博扬轮换首发出场。 第22分钟,",48707.txt
2,财经,"电子盘原油回升 沪燃油走势偏强 上海燃料油期货1月19日走势偏强。主力1105合约开盘4,851元/吨,收盘4,881元/吨,上涨41元/吨,成交量为34,100手,持仓量为70,566手。受电子盘原油回升及国内市场整体走高带动,沪燃油跌至反弹。近期现货报价因资源紧张,保持坚挺,部分地区终端开始备货。预计沪油短期将在原油及周边市场带动下维持震荡偏多走势。 纽约商业期货交易所 NYMEX 原油期货19日亚洲电子盘震荡回升,截止北京时间15:00,NYMEX 二月原油期货",827884.txt
1,科技,"中关村科贸电子城销售员打清华学生获刑 本报讯 记者孙思娅 因买相机时遭遇“换型骗局”,清华大学硕士生谢某怒斥销售员,并因此受到中关村科贸电子城内一公司多名销售员的围殴,在场的另外两位同学也未能幸免。昨天记者获悉,继其他几名销售员被判刑后,参与打人的员工崔占峰昨天被市一中院判处有期徒刑两年两个月。 去年1月28日下午4点,清华大学精密仪器系在读硕士生郝某来到中关村科贸电子城1225室的北京渊源流长数码科技有限公司,打算购买一部索尼相机。销售员在收取郝某1500元购机款后,又向",597467.txt
2,财经,"今年以来TOT净值跌幅最深超14% 证券时报记者 余子君 由于信托公司暂停开设股票账户,为了不影响发行,能够成功绕开开户障碍的信托中的信托 TOT 受到热捧,尤其是今年以来,随着存量账户的不断减少,TOT更是炙手可热、第三方研究机构、媒体纷纷染指。但是在TOT火热发行的背景下,今年以来的震荡市中TOT普遍未取得亮眼业绩。 Wind数据统计显示,首只TOT产品 东海盛世1号成立于2009年4月24日,截至4月29日,单位净值为120.74元,今年以来净值下跌了4.04%;光",815887.txt
3,教育,"初三生考高分不能只依靠冲刺班 语文 反复做平时的错题 考生在语文复习阶段不妨给自己制订一个合理的计划,可按教学书籍、考试说明和综合模拟练习3大板块来安排。 首先,将老师课上所讲内容完全消化,复习时以课本为先,书上的内容是基础。在掌握的基础上,按层次补缺和提高。 另外,应该多做练习、懂得总结,将自己平时做错的题目进行整理,然后反复地做,巩固记忆。 同时突出阅读和写作能力的训练。写作是需要积累的,应多看一些有深度的文章,进行一下背诵很有必要,体会其中的语境、语感。多搜集",323545.txt
1,科技,"惠普调整全球高管:符标榜接管亚太及日本地区 新浪科技讯 北京时间4月14日凌晨消息,据国外媒体昨日报道,惠普宣布作出一系列人事变动,将部分高管调往新的岗位,并从软件公司VMware聘用一名高管,符标榜接任亚太和日本地区高级副总裁。 惠普称,该公司已经选定软件部门负责人托马斯 霍根 Thomas E. Hogan 为旗下企业业务集团负责销售和营销战略的执行副总裁,并任命欧洲、中东及非洲地区高级副总裁兼董事总经理弗朗西斯科 塞拉芬尼 Francesco Serafini 为新兴市场执",591745.txt
0,体育,"江苏洋帅赛前示弱 教练:面具人归来可与广东争锋 自从执教南钢队以来,外教杰森带给了球队很多东西,不过他本人也从中国篮球从江苏篮球身上学到了一些东西,其中最重要的一条就是 “低调”。 昨天,在球队从杭州抵达比赛地中山后,杰森在酒店大堂把队员们召集在一起:“我现在只想告诉你们,打浙江的最后6分钟是我见过的你们打得最好的一段时间。现在大家的任务就是休息好,明天的比赛不用多想,拼出来就行,拼出来就是胜利。”一向信心十足的杰森再次遇到卫冕冠军时选择了“示弱”。 “尽管广东实力比我们强,可每次打",3848.txt
0,体育,"CUBA六冠王华侨大学再遭绝杀 小组赛遭遇已两连败 新华网浙江绍兴4月10日体育专电 张孟琼、梁希仪 曾经六夺CUBA联赛男篮总冠军的华侨大学队在10日的东南赛区小组赛中再次受挫,以72:73输给宁波大学,遭遇两连败。 华侨大学是CUBA历史上夺得总冠军次数最多的院校,但自上届以来,球队经历新老交替、失去桂冠,此后的成绩一路下滑。本届分区赛,华大三场比赛除首战击败南昌大学外,接连以1分之差惜败于浙大和宁大,小组出线已成疑问。 凌海杰是宁波大学获胜的第一功臣,他掠下22分和11个篮板,队友",7890.txt
2,财经,"玉米 持续走弱 玉米 持续走弱 上周大连玉米持续走弱,市场成交维持低迷状态。周五905合约跌23元至1631元/吨。市场成交清淡,人气极度低迷。基本面上供需偏空,但托市收购政策限制期价跌幅。预计后市区间震荡格局不变,极可能维持在10月以来的震荡区间中运行支撑位。 胡秋红",820078.txt
0,体育,"男足世界杯夺冠成男篮榜样 西班牙目标世锦赛金牌 记者潘谨勤7月25日报道 西班牙男足获得世界杯,让西班牙男篮更加渴望夺得世锦赛,保 加索尔尽管退出国家队,但仍然关注国家队,而挂在他嘴边的,就是足球夺冠,篮球也应该让球迷满意。 “夺得世界大赛一直是我们的目标,”加索尔说,“尽管我不能上场,但我仍然相信我们有夺冠的实力。而我们的足球队已经创造历史,接下来可以看看我们篮球的表现了。” 2008年欧洲杯西班牙足球夺冠,一年后的欧锦赛上,加索尔同样放话,篮球也要夺冠,最终他们历史上首次捧起欧锦",97540.txt
1,科技,"不是羊羔体!苹果精品暴力艺术照大全 专挑高档货蹂躏!苹果精品暴力图片集 就整个IT领域而言,无论对于追求尖端品质的用户也好,还是追求时尚浪潮的用户也好,苹果产品都是IT业的第一代名词。如此强悍的口碑不仅体现在某几款产品的成功上,同时还体现在苹果在资本市场的身价上。自从苹果iPad热销以来,该公司的股票市值已经正式超越微软,成为了全球高科技第一股。 这个奇怪的东东,保留看法,看上去不像真的,但是也不排除有BT级蛋疼帝拿着小钢锯玩这游戏。 苹果某设备内的芯片,上层是残破的显示",496341.txt
0,体育,"切尔西vs布莱克浦首发德罗巴领衔三叉戟 特里缺阵 新浪体育讯 北京时间9月19日晚,2010-11赛季英超联赛第5轮继续进行,新浪体育赛前为您带来本轮比赛的各场首发。 切尔西vs布莱克浦 开球:19日23:00 切尔西:433 门将:切赫 后卫:保罗-费雷拉、伊万诺维奇、阿莱士、阿什利-科尔 前卫:埃辛、米克尔、拉米雷斯 前锋:卡劳、德罗巴、马卢达 替补:特恩布尔、贝纳永、阿内尔卡、日尔科夫、斯图里奇、布鲁玛、卡库塔 布莱克浦:451 门将:基尔克斯 后卫:埃尔德利、埃瓦特、巴普蒂斯特",43376.txt
3,教育,"台生赴大陆“考研”每年约2000人 据新华社台北12月6日电眼下又到了台湾学生报名参加大陆高校研究生考试的日子。记者6日从在岛内接受报名的夏潮联合会了解到,近年来通过该会报名赴大陆“考研”的台生数量稳定,每年约500人,而通过各种方式报名的台生总数每年保持在2000人左右。 今年8月,台立法机构通过所谓“陆生三法”修正案,其中包括承认大陆40余所高校的学历。",315598.txt
3,教育,"河北工业大学2010年高考录取结果查询系统开通 新浪教育讯 河北工业大学2010年高考录取结果查询系统开通, 点击此处查看",304167.txt
0,体育,"图文-火箭常规训练 训练场上谁敢这样? 新浪体育讯 北京时间3月5日 休斯顿当地时间4日中午12时至下午1时30分 ,火箭队在丰田中心进行了常规训练,训练结束后教练和部分球员接受了媒体的采访。 TONY",109010.txt
1,科技,"AT T用户平均每月接入Wi-Fi网络1亿次 新浪科技讯 北京时间10月24日晚间消息,今年第三季度,AT T用户共进行了3.019亿次 Wi-Fi连接,平均每秒37次连接。 AT T上周发布了2011财年第三季度财报,运营收入为314.8亿美元,低于上年同期的315.8亿美元。净利润为36亿美元,低于上年同期的123.2亿美元。 财报还显示,AT T用户第三财季共进行了3.019亿次Wi-Fi连接,同比增长282%。这意味着AT T用户当前每月进行约1亿次Wi-Fi连接,相当于2",640976.txt
0,体育,"新帅未出炉薪酬先曝光 年薪50万集训每天津贴千元 本报讯 记者郑小龙 这次足协将国家队的长远规划定了在2014年,如果不发生意外的话,各级国字号球队将由土帅一统天下,短期内不会有任何“洋务运动”。另外,这次中国足协将一改过去与本土教练不签合同的尴尬,从合同和工资方面全面提升教练待遇,以增加国字号教练对本土精英的吸引力。 据悉,竞聘开始前,足协已经决定与竞聘成功者签订一个长期合同 国家队主帅职务到2014年巴西世界杯结束,国奥则到2012年伦敦奥运会结束 。签订如此长期的合同,足协的出发",112567.txt
1,科技,"QQ邮箱遭网易“封杀” 网易关闭POP3收发服务 中关村在线软件事业部消息:很多朋友此前都习惯使用QQ邮箱来收发其它邮箱中的信件,比如将网易163、126、雅虎、TOM邮箱,集中到QQ 邮箱服务中,统一进行管理等等。但是,近日,QQ邮箱发布公告,表示,由于网易关闭对应服务,将无法继续提供对网易邮箱的POP3收发支持。公告内容如下: 关于QQ邮箱无法代收网易邮件的温馨提醒尊敬的用户:很抱歉,近期QQ邮箱无法为您正常代收网易邮箱 163.com; 126.com 的邮件。因为我们发现,目前",554913.txt
2,财经,"原油上涨动力依然充足 近期将围绕100关口争夺 7月份以来,国际原油基本上呈现出振荡回升的局面,美国原油近月合约期价一度上冲至100美元/桶,而欧洲原油的价格在120美元/桶关口受阻后展开强势振荡格局,整体上来看,国际原油在经历上个月末的连续探底之后已经探明短期底部。笔者认为,在其自身供需基本面比较平稳的情况下,后期油价将更多的依赖于全球宏观经济的变化,同时,美国国内原油库存的不断走低以及CFTC净多持仓的高位运行都将为油价提供坚实的上涨基础,后期原油走高仍是大概率事件。 近期国际金",831022.txt
1,科技,"Nvidia与盖茨背景公司合作研发激光灭蚊 新浪科技讯 北京时间3月19日早间消息,本周五Nvidia表示正在与一家拥有微软背景的公司合作,利用改装过的游戏机芯片来制导发射激光杀灭雌性蚊虫,以便拯救第三世界儿童的生命。 蚊虫在全球传播疟疾,特别是对发展中国家影响巨大。多年以前,人们都使用“滴滴涕 DDT ”来控制蚊子的繁殖数量,但现在“滴滴涕”已被普遍禁用。 现在,专攻图像显示芯片的Nvidia开始与一家叫Intellectual Ventures的公司合作开发一款智能激光护栏,",484801.txt
0,体育,"易建联:不在乎加内特的垃圾话 我要一场比一场好 新浪体育讯 北京时间10月15日消息,据新泽西篮网官方网站报道,由于右肩拉伤,篮网首发大前锋易建联在昨天对波士顿凯尔特人的比赛下半场没有出场。 据阿联介绍,他是在第二节一次突破中,被对方的防守球员弄伤的,随后出于安全的考虑,他向主教练劳伦斯-弗兰克汇报了此事,并返回休息室接受检查、治疗。 事实上,在双方上一次在波士顿的交锋中,这位中国球员刚刚打出了季前赛开始以来的最佳表现,拿到了20分、8个篮板。 由于受伤部位需要恢复,阿联缺席了今天的",89848.txt
